"tripnum","depotcode","transporter","vehiclereg","startdate","stopdate","avg_percent","loaddate","total_trip_time","total_distance"
"2024-0060197",EA33,Unitrans Supply Chain Sols,CAA192673,2024-10-13 11:49:00.000,2024-10-13 16:46:00.000,78.47,2024-10-13 11:47:00.000 +0200,17820.0,67
"2024-0061233",EB06,Tanker Services Fuel,KP80GGGP,2024-10-17 20:57:00.000,,88.13,2024-10-17 20:54:00.000 +0200,,0
"2024-0047823",EB21,Makwande,KN31RWGP,2024-08-15 23:28:00.000,,86.57,2024-08-15 23:28:00.000 +0200,,0
"2024-0061719",EB05,Anax Logistics,JDG981EC,2024-10-20 09:34:00.000,,93.84,2024-10-20 09:31:00.000 +0200,,0
"2024-0053570",EB21,Makwande,KP41VSGP,2024-09-11 23:12:00.000,2024-09-12 08:08:00.000,91.28,2024-09-11 23:10:00.000 +0200,32160.0,63
"2024-0058821",EB23,Makwande,JMJ742MP,2024-10-06 20:08:00.000,,63.19,2024-10-06 20:08:00.000 +0200,,0
"2024-0047539",EA33,Unitrans Supply Chain Sols,CAA419011,2024-08-14 13:28:00.000,,84.16,2024-08-14 13:23:00.000 +0200,,0
"2024-0045201",EA33,Unitrans Supply Chain Sols,CAA142820,2024-08-02 22:17:00.000,,83.99,2024-08-02 22:14:00.000 +0200,,0
"2024-0045201",EA33,Unitrans Supply Chain Sols,CAA142820,2024-08-02 22:17:00.000,2024-08-03 08:53:00.000,83.99,2024-08-02 22:14:00.000 +0200,38160.0,118
"2024-0048059",EA33,Unitrans Supply Chain Sols,CAA198211,2024-08-16 21:54:00.000,2024-08-17 01:19:00.000,81.21,2024-08-16 21:49:00.000 +0200,12300.0,96
"2024-0049133",EB08,Tanker Services Fuel,KR64VWGP,2024-08-22 08:05:00.000,2024-08-22 17:28:00.000,87.41,2024-08-22 07:52:00.000 +0200,33780.0,320
"2024-0049133",EB08,Tanker Services Fuel,KR53HNGP,2024-08-22 08:05:00.000,2024-08-22 17:28:00.000,54.56,2024-08-22 07:52:00.000 +0200,33780.0,320
"2024-0062277",EB23,Makwande,KNM193MP,2024-10-22 17:59:00.000,,83.96,2024-10-22 17:57:00.000 +0200,,0
"2024-0063202",EB21,Makwande,KS49XBGP,2024-10-27 02:25:00.000,2024-10-27 14:15:00.000,94.4,2024-10-27 02:23:00.000 +0200,42600.0,84
"2024-0052816",EB21,Makwande,KS49XLGP,2024-09-09 01:39:00.000,,90.24,2024-09-08 21:46:00.000 +0200,,0
"2024-0058593",EB06,Tanker Services Fuel,KP69YSGP,2024-10-06 01:06:00.000,,91.0,2024-10-06 01:03:00.000 +0200,,0
"2024-0047732",EB21,Unitrans Supply Chain Sols,CAA457059,2024-08-15 12:46:00.000,2024-08-15 19:10:00.000,77.53,2024-08-15 11:07:00.000 +0200,23040.0,406
"2024-0046663",EB06,ManLine Energy,NP83939,2024-08-10 11:50:00.000,,94.98,2024-08-10 11:39:00.000 +0200,,0
"2024-0048595",EB08,Tanker Services Fuel,KP69ZRGP,2024-08-19 19:05:00.000,2024-08-20 06:50:00.000,91.82,2024-08-19 19:03:00.000 +0200,42300.0,264
"2024-0051243",EA33,Unitrans Supply Chain Sols,CAA170724,,,94.03,,,62
"2024-0051765",EA33,Unitrans Supply Chain Sols,CAA418992,,,82.85,,,92
"2024-0062367",EA35,Unitrans Supply Chain Sols,CAA330049,2024-10-23 08:03:00.000,,88.67,2024-10-23 07:53:00.000 +0200,,0
"2024-0062708",EB23,Makwande,KNM197MP,2024-10-24 17:22:00.000,,71.8,2024-10-24 17:22:00.000 +0200,,0
"2024-0052544",EB21,Makwande,KP57DGGP,2024-09-07 10:26:00.000,2024-09-07 19:07:00.000,87.42,2024-09-07 10:23:00.000 +0200,31260.0,148
"2024-0053808",EB21,Makwande,KN67GLGP,2024-09-12 22:59:00.000,,88.04,2024-09-12 22:58:00.000 +0200,,0
"2024-0053836",EB21,Makwande,KS49XLGP,2024-09-13 03:10:00.000,,0.0,2024-09-13 03:08:00.000 +0200,,0
"2024-0053805",EB06,Tanker Services Fuel,KP70CRGP,2024-09-12 22:28:00.000,,80.86,2024-09-12 22:17:00.000 +0200,,0
"2024-0054770",EB05,Tanker Services Fuel,KP57KHGP,2024-09-17 14:21:00.000,2024-09-17 19:55:00.000,93.53,2024-09-17 14:16:00.000 +0200,20040.0,102
"2024-0060196",EB06,Tanker Services Fuel,HG68LCGP,2024-10-13 11:23:00.000,,82.58,2024-10-13 11:20:00.000 +0200,,0
"2024-0047648",EB21,Makwande,KP75JPGP,2024-08-15 02:47:00.000,2024-08-15 08:04:00.000,64.08,2024-08-15 02:47:00.000 +0200,19020.0,20
"2024-0048905",EB08,Tanker Services Fuel,KR64VWGP,2024-08-21 08:58:00.000,2024-08-21 18:37:00.000,83.96,2024-08-21 08:35:00.000 +0200,34740.0,232
"2024-0058431",EA33,Unitrans Supply Chain Sols,CAA425438,2024-10-05 08:13:00.000,,90.65,2024-10-05 08:09:00.000 +0200,,0
"2024-0058525",EB05,Tanker Services Fuel,KP70CBGP,2024-10-05 15:40:00.000,,92.62,2024-10-05 15:40:00.000 +0200,,0
"2024-0045717",EB23,Makwande,KR60ZBGP,2024-08-05 17:04:00.000,2024-08-05 19:00:00.000,78.17,2024-08-05 16:04:00.000 +0200,6960.0,21
"2024-0049745",EB21,Makwande,KS49XLGP,2024-08-25 01:28:00.000,2024-08-25 14:00:00.000,51.36,2024-08-25 01:28:00.000 +0200,45120.0,133
"2024-0049745",EB21,Makwande,KS49WRGP,2024-08-25 01:28:00.000,2024-08-25 14:00:00.000,84.79,2024-08-25 01:28:00.000 +0200,45120.0,133
"2024-0058688",EB06,Tanker Services Fuel,KP55MSGP,2024-10-06 12:04:00.000,,73.11,2024-10-06 11:59:00.000 +0200,,0
"2024-0049468",EB05,Anax Logistics,JDH103EC,2024-08-23 13:20:00.000,,91.49,2024-08-23 12:40:00.000 +0200,,0
"2024-0063373",EA33,Unitrans Supply Chain Sols,CAA419006,2024-10-28 01:02:00.000,2024-10-28 16:32:00.000,87.0,2024-10-28 00:58:00.000 +0200,55800.0,122
"2024-0054862",EA33,Unitrans Supply Chain Sols,CAA170724,2024-09-18 00:13:00.000,2024-09-18 08:04:00.000,89.48,2024-09-18 00:03:00.000 +0200,28260.0,54
"2024-0055382",EB06,Tanker Services Fuel,KP80HXGP,2024-09-20 10:37:00.000,2024-09-20 18:15:00.000,92.87,2024-09-20 10:18:00.000 +0200,27480.0,243
"2024-0058126",EA33,Unitrans Supply Chain Sols,CAA419006,2024-10-03 19:54:00.000,2024-10-04 02:01:00.000,91.49,2024-10-03 19:52:00.000 +0200,22020.0,138
"2024-0046793",EB21,Makwande,KN23MGGP,2024-08-11 03:19:00.000,2024-08-11 10:24:00.000,62.36,2024-08-11 03:18:00.000 +0200,25500.0,23
"2024-0048333",EB06,Tanker Services Fuel,KP80GGGP,2024-08-18 20:27:00.000,,91.72,2024-08-18 20:19:00.000 +0200,,0
"2024-0047010",EB06,ManLine Energy,KPV575MP,2024-08-12 09:23:00.000,,91.79,2024-08-12 09:23:00.000 +0200,,0
"2024-0048318",EA33,Unitrans Supply Chain Sols,CAA198211,2024-08-18 19:19:00.000,2024-08-18 22:59:00.000,83.26,2024-08-18 19:15:00.000 +0200,13200.0,113
"2024-0049758",EB21,Makwande,KNF950MP,2024-08-25 08:21:00.000,2024-08-25 11:00:00.000,84.53,2024-08-25 08:20:00.000 +0200,9540.0,110
"2024-0062091",EB06,Tanker Services Fuel,KP80MRGP,2024-10-21 23:05:00.000,2024-10-22 08:46:00.000,90.93,2024-10-21 22:52:00.000 +0200,34860.0,136
"2024-0054110",EB05,Anax Logistics,JDG981EC,2024-09-14 10:01:00.000,,91.94,2024-09-14 10:01:00.000 +0200,,0
"2024-0058081",EA33,Unitrans Supply Chain Sols,CAA419006,2024-10-03 13:50:00.000,2024-10-03 19:21:00.000,82.94,2024-10-03 13:39:00.000 +0200,19860.0,360
"2024-0060077",EB06,Reef Tankers,LV19PNGP,2024-10-12 18:10:00.000,,93.35,2024-10-12 18:02:00.000 +0200,,0
"2024-0060567",EB06,Tanker Services Fuel,KP80HXGP,2024-10-15 00:32:00.000,,73.58,2024-10-15 00:27:00.000 +0200,,0
"2024-0046200",EB21,Makwande,KN23MGGP,2024-08-08 06:00:00.000,,72.26,2024-08-08 00:59:00.000 +0200,,0
"2024-0046670",EB21,Unitrans Supply Chain Sols,CAA425307,2024-08-10 12:03:00.000,2024-08-10 18:00:00.000,85.47,2024-08-10 12:03:00.000 +0200,21420.0,271
"2024-0047075",EB21,Makwande,KN67GLGP,2024-08-12 15:27:00.000,2024-08-13 08:15:00.000,90.25,2024-08-12 15:16:00.000 +0200,60480.0,323
"2024-0058319",EB21,Makwande,KR18VMGP,2024-10-04 13:55:00.000,,93.73,2024-10-04 13:55:00.000 +0200,,0
"2024-0044828",EB06,Maphalakarabo,FPC349L,2024-08-01 08:26:00.000,,85.01,2024-08-01 08:18:00.000 +0200,,0
"2024-0051205",EB21,Makwande,KN31RWGP,,,70.65,,,54
"2024-0052384",EB06,Reef Tankers,LV19PDGP,2024-09-06 14:32:00.000,,92.4,2024-09-06 14:15:00.000 +0200,,0
"2024-0052655",EB06,Tanker Services Fuel,KP80GGGP,2024-09-07 22:11:00.000,,84.76,2024-09-07 21:46:00.000 +0200,,0
"2024-0053038",EB21,Makwande,KS49XLGP,2024-09-09 17:05:00.000,2024-09-10 02:01:00.000,84.19,2024-09-09 17:05:00.000 +0200,32160.0,102
"2024-0053038",EB21,Makwande,KS49WRGP,2024-09-09 17:05:00.000,2024-09-10 02:01:00.000,88.78,2024-09-09 17:05:00.000 +0200,32160.0,102
"2024-0054361",EB06,Tanker Services Fuel,KP70BFGP,2024-09-15 22:32:00.000,,60.2,2024-09-15 22:26:00.000 +0200,,0
"2024-0054215",EB23,Makwande,KPR059MP,2024-09-14 18:13:00.000,,82.64,2024-09-14 18:04:00.000 +0200,,0
"2024-0055654",EA33,Tanker Services Fuel,JS36SRGP,2024-09-21 17:05:00.000,,87.65,2024-09-21 17:00:00.000 +0200,,0
"2024-0057054",EA33,Unitrans Supply Chain Sols,CAA419040,2024-09-28 14:55:00.000,2024-09-29 01:47:00.000,93.1,2024-09-28 14:40:00.000 +0200,39120.0,104
"2024-0063621",EA33,Unitrans Supply Chain Sols,CAA425438,2024-10-28 23:11:00.000,2024-10-29 20:06:00.000,86.29,2024-10-28 23:09:00.000 +0200,75300.0,89
"2024-0047809",EB06,Reef Tankers,HJ73JZGP,2024-08-15 21:24:00.000,,93.23,2024-08-15 21:06:00.000 +0200,,0
"2024-0062747",EB06,Tanker Services Fuel,KP70BFGP,2024-10-24 21:53:00.000,2024-10-25 11:09:00.000,94.17,2024-10-24 21:47:00.000 +0200,47760.0,71
"2024-0062813",EB21,Makwande,JNG703MP,2024-10-25 09:07:00.000,2024-10-25 16:40:00.000,73.65,2024-10-25 08:51:00.000 +0200,27180.0,175
"2024-0062813",EB21,Makwande,JNG701MP,2024-10-25 09:07:00.000,2024-10-25 16:40:00.000,76.32,2024-10-25 08:51:00.000 +0200,27180.0,175
"2024-0055642",EB06,Tanker Services Fuel,KP80MRGP,2024-09-21 15:52:00.000,,94.09,2024-09-21 15:41:00.000 +0200,,0
"2024-0060826",EA35,Unitrans Supply Chain Sols,CAA133421,2024-10-16 07:38:00.000,,90.96,2024-10-16 07:37:00.000 +0200,,0
"2024-0063580",EB05,Tanker Services Fuel,KP57JKGP,2024-10-28 17:37:00.000,,94.3,2024-10-28 17:28:00.000 +0200,,0
"2024-0063563",EA33,Unitrans Supply Chain Sols,CAA130026,2024-10-28 16:44:00.000,2024-10-29 00:50:00.000,89.03,2024-10-28 15:31:00.000 +0200,29160.0,104
"2024-0046609",EA33,Unitrans Supply Chain Sols,CAA418992,2024-08-10 02:50:00.000,2024-08-10 12:50:00.000,94.12,2024-08-10 02:27:00.000 +0200,36000.0,63
"2024-0047140",EA33,Unitrans Supply Chain Sols,CAA329952,2024-08-12 21:11:00.000,2024-08-13 02:50:00.000,89.43,2024-08-12 20:20:00.000 +0200,20340.0,99
"2024-0051995",EB23,Makwande,KNP800MP,2024-09-04 21:45:00.000,2024-09-05 16:31:00.000,88.68,2024-09-04 21:42:00.000 +0200,67560.0,328
"2024-0055321",EB06,Reef Tankers,LV19PNGP,2024-09-20 02:15:00.000,,91.44,2024-09-20 02:09:00.000 +0200,,0
"2024-0045646",EB06,Maphalakarabo,FPC349L,2024-08-05 12:25:00.000,,85.04,2024-08-05 12:19:00.000 +0200,,0
"2024-0045646",EB06,Maphalakarabo,FPC349L,2024-08-05 12:25:00.000,2024-08-05 21:39:00.000,85.04,2024-08-05 12:19:00.000 +0200,33240.0,262
"2024-0047156",EB06,Tanker Services Fuel,KP69XNGP,2024-08-12 22:37:00.000,2024-08-13 13:46:00.000,75.12,2024-08-12 22:20:00.000 +0200,54540.0,183
"2024-0047152",EB21,Unitrans Supply Chain Sols,CAA130019,2024-08-12 22:06:00.000,2024-08-13 10:49:00.000,93.78,2024-08-12 22:06:00.000 +0200,45780.0,234
"2024-0047399",EB06,Tanker Services Fuel,KP80GGGP,2024-08-13 23:16:00.000,2024-08-14 20:34:00.000,60.7,2024-08-13 23:09:00.000 +0200,76680.0,116
"2024-0061843",EA33,Unitrans Supply Chain Sols,CAA419006,2024-10-20 22:31:00.000,2024-10-21 20:14:00.000,93.51,2024-10-20 21:43:00.000 +0200,78180.0,69
"2024-0053277",EB06,Tanker Services Fuel,KP69YSGP,2024-09-10 15:21:00.000,2024-09-11 02:30:00.000,94.46,2024-09-10 15:08:00.000 +0200,40140.0,149
"2024-0057260",EB21,Unitrans Supply Chain Sols,CAA425307,2024-09-29 21:58:00.000,,87.52,2024-09-29 21:56:00.000 +0200,,0
"2024-0058074",EB21,Unitrans Supply Chain Sols,CAA130019,2024-10-03 13:08:00.000,2024-10-03 22:20:00.000,91.13,2024-10-03 13:02:00.000 +0200,33120.0,205
"2024-0059742",EB06,Tanker Services Fuel,KP80HXGP,2024-10-11 00:09:00.000,,93.31,2024-10-11 00:05:00.000 +0200,,0
"2024-0046213",EB21,Makwande,KNF950MP,2024-08-08 06:00:00.000,2024-08-08 11:00:00.000,71.75,2024-08-08 02:22:00.000 +0200,18000.0,48
"2024-0047552",EA33,Unitrans Supply Chain Sols,CAA306835,2024-08-14 15:41:00.000,,85.99,2024-08-14 15:15:00.000 +0200,,0
"2024-0045306",EA33,Unitrans Supply Chain Sols,CAA130026,2024-08-03 13:20:00.000,,79.71,2024-08-03 12:38:00.000 +0200,,0
"2024-0045306",EA33,Unitrans Supply Chain Sols,CAA130026,2024-08-03 13:20:00.000,2024-08-03 20:01:00.000,79.71,2024-08-03 12:38:00.000 +0200,24060.0,61
"2024-0049742",EB23,Makwande,KR60ZBGP,2024-08-25 00:44:00.000,,84.42,2024-08-25 00:44:00.000 +0200,,0
"2024-0051808",EB23,Makwande,KNP803MP,,,78.11,,,254
"2024-0052282",EB21,Unitrans Supply Chain Sols,CAA130019,2024-09-06 07:00:00.000,2024-09-06 21:06:00.000,94.84,2024-09-06 04:35:00.000 +0200,50760.0,545
"2024-0061586",EB05,Anax Logistics,JDH103EC,2024-10-19 14:39:00.000,,88.91,2024-10-19 14:38:00.000 +0200,,0
"2024-0056942",EB21,Makwande,KS49XBGP,2024-09-28 00:27:00.000,2024-09-28 14:00:00.000,90.42,2024-09-28 00:27:00.000 +0200,48780.0,117
"2024-0056942",EB21,Makwande,KS49WFGP,2024-09-28 00:27:00.000,2024-09-28 14:00:00.000,93.66,2024-09-28 00:27:00.000 +0200,48780.0,117
"2024-0056950",EB21,Makwande,KP75JPGP,2024-09-28 02:44:00.000,2024-09-28 17:30:00.000,93.8,2024-09-28 02:44:00.000 +0200,53160.0,441
"2024-0049223",EA33,Unitrans Supply Chain Sols,CAA419040,2024-08-22 12:26:00.000,2024-08-22 23:10:00.000,93.15,2024-08-22 12:22:00.000 +0200,38640.0,145
"2024-0049495",EA33,Unitrans Supply Chain Sols,CAA329952,2024-08-23 14:47:00.000,2024-08-23 22:07:00.000,84.99,2024-08-23 14:12:00.000 +0200,26400.0,117
"2024-0052315",EB08,Tanker Services Fuel,KR64VWGP,2024-09-06 09:23:00.000,2024-09-06 17:19:00.000,63.65,2024-09-06 09:15:00.000 +0200,28560.0,205
"2024-0053065",EB21,Makwande,KP75JPGP,2024-09-09 20:17:00.000,2024-09-10 09:10:00.000,81.63,2024-09-09 20:17:00.000 +0200,46380.0,284
"2024-0051990",EA35,Makwande,KYT276MP,2024-09-04 20:54:00.000,,94.71,2024-09-04 20:54:00.000 +0200,,0
"2024-0055085",EB06,Reef Tankers,HJ29LCGP,2024-09-18 23:17:00.000,,94.53,2024-09-18 22:13:00.000 +0200,,0
"2024-0051093",EB06,Tanker Services Fuel,KS68YTGP,2024-08-31 21:12:00.000,,86.74,2024-08-31 20:46:00.000 +0200,,0
"2024-0051093",EB06,Tanker Services Fuel,KR89BYGP,2024-08-31 21:12:00.000,,94.31,2024-08-31 20:46:00.000 +0200,,0
"2024-0062892",EB05,Tanker Services Fuel,KP57JKGP,2024-10-25 13:57:00.000,,94.85,2024-10-25 13:39:00.000 +0200,,0
"2024-0055397",EB21,Makwande,KN93YRGP,2024-09-20 11:55:00.000,2024-09-20 17:20:00.000,86.76,2024-09-20 11:51:00.000 +0200,19500.0,128
"2024-0058063",EB23,Makwande,KR60ZBGP,2024-10-03 12:10:00.000,2024-10-03 18:00:00.000,94.91,2024-10-03 12:03:00.000 +0200,21000.0,238
"2024-0060671",EA33,Unitrans Supply Chain Sols,CAA173582,2024-10-15 12:32:00.000,2024-10-15 16:08:00.000,83.5,2024-10-15 07:16:00.000 +0200,12960.0,319
"2024-0063387",EA33,Unitrans Supply Chain Sols,CAA142820,2024-10-28 02:46:00.000,2024-10-28 15:39:00.000,81.86,2024-10-28 02:37:00.000 +0200,46380.0,137
"2024-0063342",EB06,Tanker Services Fuel,KR15VMGP,2024-10-27 21:03:00.000,2024-10-28 10:28:00.000,73.31,2024-10-27 20:56:00.000 +0200,48300.0,188
"2024-0063342",EB06,Tanker Services Fuel,KR44GGGP,2024-10-27 21:03:00.000,2024-10-28 10:28:00.000,88.21,2024-10-27 20:56:00.000 +0200,48300.0,188
"2024-0053536",EB21,Makwande,KN31RWGP,2024-09-11 19:49:00.000,,79.01,2024-09-11 19:48:00.000 +0200,,0
"2024-0056099",EB06,Tanker Services Fuel,KP70CRGP,2024-09-23 23:13:00.000,,78.11,2024-09-23 22:54:00.000 +0200,,0
"2024-0061021",EB06,Tanker Services Fuel,KP69XNGP,2024-10-16 21:03:00.000,,37.52,2024-10-16 20:58:00.000 +0200,,0
"2024-0061190",EB06,Tanker Services Fuel,KR44GGGP,2024-10-17 17:31:00.000,2024-10-18 00:07:00.000,50.52,2024-10-17 17:27:00.000 +0200,23760.0,178
"2024-0061190",EB06,Tanker Services Fuel,KR15VMGP,2024-10-17 17:31:00.000,2024-10-18 00:07:00.000,86.28,2024-10-17 17:27:00.000 +0200,23760.0,178
"2024-0048394",EB23,Makwande,KNP803MP,2024-08-19 08:16:00.000,2024-08-19 14:00:00.000,93.78,2024-08-19 08:16:00.000 +0200,20640.0,210
"2024-0048394",EB23,Makwande,KNM191MP,2024-08-19 08:16:00.000,2024-08-19 14:00:00.000,42.65,2024-08-19 08:16:00.000 +0200,20640.0,210
"2024-0046660",EA33,Reef Tankers,LC21DTGP,2024-08-10 11:34:00.000,,94.69,2024-08-10 11:30:00.000 +0200,,0
"2024-0051654",EB21,Unitrans Supply Chain Sols,CAA457059,,,90.19,,,320
"2024-0053192",EB05,Tanker Services Fuel,KP70DSGP,2024-09-10 10:12:00.000,,91.1,2024-09-10 09:51:00.000 +0200,,0
"2024-0055669",EB21,Unitrans Supply Chain Sols,CAA425430,2024-09-21 20:27:00.000,2024-09-22 07:12:00.000,86.01,2024-09-21 20:26:00.000 +0200,38700.0,210
"2024-0057539",EA33,Unitrans Supply Chain Sols,CAA548852,2024-10-01 01:47:00.000,2024-10-01 19:24:00.000,83.41,2024-10-01 01:44:00.000 +0200,63420.0,301
"2024-0057946",EB21,Makwande,KS49VWGP,2024-10-02 22:00:00.000,,93.45,2024-10-02 22:00:00.000 +0200,,0
"2024-0058033",EA33,Unitrans Supply Chain Sols,CAA142820,2024-10-03 09:42:00.000,2024-10-03 16:55:00.000,82.62,2024-10-03 09:30:00.000 +0200,25980.0,89
"2024-0059319",EA35,Unitrans Supply Chain Sols,CAA133421,2024-10-09 07:47:00.000,2024-10-10 06:52:00.000,88.15,2024-10-09 07:42:00.000 +0200,83100.0,574
"2024-0059880",EB06,Tanker Services Fuel,KP69WCGP,2024-10-11 14:37:00.000,2024-10-12 01:31:00.000,75.65,2024-10-11 14:30:00.000 +0200,39240.0,243
"2024-0060604",EB08,Tanker Services Fuel,KP69ZRGP,2024-10-15 07:51:00.000,,87.84,2024-10-15 07:39:00.000 +0200,,0
"2024-0045012",EB06,Reef Tankers,HJ29LCGP,2024-08-02 00:51:00.000,,94.67,2024-08-02 00:38:00.000 +0200,,0
"2024-0045354",EB06,Tanker Services Fuel,KP80GGGP,2024-08-03 20:16:00.000,,91.02,2024-08-03 20:09:00.000 +0200,,0
"2024-0046003",EB21,Makwande,KP57DGGP,2024-08-07 02:05:00.000,,84.55,2024-08-07 02:04:00.000 +0200,,0
"2024-0046602",EB21,Makwande,KN23MGGP,2024-08-10 02:18:00.000,2024-08-10 11:20:00.000,80.18,2024-08-10 02:17:00.000 +0200,32520.0,52
"2024-0048204",EB23,Makwande,KNP802MP,2024-08-17 16:27:00.000,,55.92,2024-08-17 16:24:00.000 +0200,,0
"2024-0048204",EB23,Makwande,KNP800MP,2024-08-17 16:27:00.000,,82.82,2024-08-17 16:24:00.000 +0200,,0
"2024-0063239",EB23,Makwande,JMJ091MP,2024-10-27 09:49:00.000,2024-10-27 14:00:00.000,68.49,2024-10-27 09:43:00.000 +0200,15060.0,63
"2024-0060773",EB23,Makwande,KNP802MP,2024-10-15 21:00:00.000,,79.73,2024-10-15 20:59:00.000 +0200,,0
"2024-0050519",EB06,Reef Tankers,HJ95ZZGP,2024-08-28 23:26:00.000,2024-08-29 15:25:00.000,84.71,2024-08-28 23:20:00.000 +0200,57540.0,256
"2024-0063860",EA33,Unitrans Supply Chain Sols,CAA425312,2024-10-30 01:32:00.000,2024-10-30 13:49:00.000,87.27,2024-10-30 01:29:00.000 +0200,44220.0,160
"2024-0054779",EB21,Makwande,KS49WFGP,2024-09-17 15:24:00.000,,91.89,2024-09-17 15:23:00.000 +0200,,0
"2024-0055661",EB21,Unitrans Supply Chain Sols,CAA130019,2024-09-21 19:41:00.000,2024-09-22 08:03:00.000,92.24,2024-09-21 19:39:00.000 +0200,44520.0,234
"2024-0058320",EB06,Reef Tankers,FS67MNGP,2024-10-04 15:01:00.000,,94.63,2024-10-04 14:56:00.000 +0200,,0
"2024-0052090",EB21,Makwande,KS49VWGP,2024-09-05 10:17:00.000,2024-09-05 19:19:00.000,86.93,2024-09-05 09:58:00.000 +0200,32520.0,101
"2024-0052134",EB21,Unitrans Supply Chain Sols,CAA425430,2024-09-05 12:00:00.000,2024-09-06 01:20:00.000,62.19,2024-09-05 11:48:00.000 +0200,48000.0,458
"2024-0062751",EB06,Tanker Services Fuel,KP69YDGP,2024-10-24 22:29:00.000,2024-10-25 02:52:00.000,72.79,2024-10-24 22:22:00.000 +0200,15780.0,60
"2024-0055063",EA33,Unitrans Supply Chain Sols,CAA130019,2024-09-18 21:59:00.000,,81.76,2024-09-18 20:47:00.000 +0200,,0
"2024-0057959",EA33,Unitrans Supply Chain Sols,CAA425312,2024-10-03 00:24:00.000,,94.19,2024-10-03 00:23:00.000 +0200,,0
"2024-0058466",EB21,Unitrans Supply Chain Sols,CAA130019,2024-10-05 10:55:00.000,,76.67,2024-10-05 10:54:00.000 +0200,,0
"2024-0058733",EB06,Makwande,LB67SRGP,2024-10-06 16:22:00.000,,94.94,2024-10-06 16:20:00.000 +0200,,0
"2024-0046315",EB23,Makwande,KPR059MP,2024-08-08 12:57:00.000,,93.14,2024-08-08 12:56:00.000 +0200,,0
"2024-0047333",EA35,Unitrans Supply Chain Sols,CAA306835,2024-08-13 14:58:00.000,2024-08-14 07:45:00.000,56.7,2024-08-13 14:54:00.000 +0200,60420.0,182
"2024-0047175",EA33,Unitrans Supply Chain Sols,CAA418992,2024-08-13 01:51:00.000,2024-08-13 12:54:00.000,66.94,2024-08-13 01:32:00.000 +0200,39780.0,77
"2024-0048122",EB06,Tanker Services Fuel,HG68LCGP,2024-08-17 09:28:00.000,2024-08-17 20:52:00.000,86.45,2024-08-17 09:19:00.000 +0200,41040.0,45
"2024-0051529",EA33,Unitrans Supply Chain Sols,CAA198211,,,93.48,,,109
"2024-0063555",EB21,Makwande,KS49VWGP,2024-10-28 16:36:00.000,2024-10-29 07:11:00.000,90.99,2024-10-28 16:36:00.000 +0200,52500.0,330
"2024-0063555",EB21,Makwande,KS49WLGP,2024-10-28 16:36:00.000,2024-10-29 07:11:00.000,91.91,2024-10-28 16:36:00.000 +0200,52500.0,330
"2024-0045394",EA33,Unitrans Supply Chain Sols,CAA173582,2024-08-04 02:21:00.000,2024-08-04 18:15:00.000,60.27,2024-08-04 01:19:00.000 +0200,57240.0,123
"2024-0045493",EA33,Unitrans Supply Chain Sols,CAA418992,2024-08-04 20:23:00.000,2024-08-05 00:30:00.000,92.22,2024-08-04 19:17:00.000 +0200,14820.0,90
"2024-0046950",EB21,Makwande,KP41VSGP,2024-08-12 09:44:00.000,,93.56,2024-08-12 09:41:00.000 +0200,,0
"2024-0047577",EA33,Unitrans Supply Chain Sols,CAA198199,2024-08-14 18:02:00.000,2024-08-14 21:59:00.000,86.9,2024-08-14 17:58:00.000 +0200,14220.0,120
"2024-0052506",EB21,Makwande,KN23LYGP,2024-09-07 03:49:00.000,2024-09-07 18:03:00.000,53.92,2024-09-07 00:10:00.000 +0200,51240.0,55
"2024-0054653",EB21,Makwande,KP09PHGP,2024-09-17 02:35:00.000,,87.78,2024-09-17 02:32:00.000 +0200,,0
"2024-0055051",EB21,Makwande,KS49WLGP,2024-09-18 20:57:00.000,,79.27,2024-09-18 20:44:00.000 +0200,,0
"2024-0055051",EB21,Makwande,KS49VWGP,2024-09-18 20:57:00.000,,91.39,2024-09-18 20:44:00.000 +0200,,0
"2024-0057656",EB06,Tanker Services Fuel,KP80HXGP,2024-10-01 15:25:00.000,,90.51,2024-10-01 15:00:00.000 +0200,,0
"2024-0057911",EB21,Makwande,KP41VSGP,2024-10-02 18:25:00.000,,88.52,2024-10-02 18:10:00.000 +0200,,0
"2024-0059719",EB06,Tanker Services Fuel,KP69WCGP,2024-10-10 21:37:00.000,,90.82,2024-10-10 21:31:00.000 +0200,,0
"2024-0061073",EB06,Reef Tankers,HJ73JZGP,2024-10-17 03:04:00.000,2024-10-17 22:00:00.000,93.55,2024-10-17 03:01:00.000 +0200,68160.0,64
"2024-0045992",EB21,Makwande,KN23MGGP,2024-08-07 00:22:00.000,,81.23,2024-08-07 00:22:00.000 +0200,,0
"2024-0046929",EB23,Makwande,KNP800MP,2024-08-12 08:09:00.000,2024-08-12 15:15:00.000,41.52,2024-08-12 08:00:00.000 +0200,25560.0,210
"2024-0044971",EA33,Unitrans Supply Chain Sols,CAA130026,2024-08-01 18:56:00.000,,78.52,2024-08-01 18:53:00.000 +0200,,0
"2024-0044971",EA33,Unitrans Supply Chain Sols,CAA130026,2024-08-01 18:56:00.000,2024-08-01 23:35:00.000,78.52,2024-08-01 18:53:00.000 +0200,16740.0,79
